Device-ID/User-ID,Timestamp,Reminder Type,Scheduled Time,Reminder Sent (Yes/No),Acknowledged (Yes/No),Unnamed: 6
D1000,2025-01-02 11:25:00.000000,Exercise,13:00:00,No,No,
D1001,2025-01-03 02:52:00.000000,Hydration,13:00:00,Yes,Yes,
D1002,2025-01-08 13:50:00.000000,Appointment,13:30:00,No,No,
D1003,2025-01-05 05:16:00.000000,Exercise,08:00:00,No,No,
D1004,2025-01-01 04:20:00.000000,Medication,11:30:00,No,No,
D1005,2025-01-20 10:39:00.000000,Hydration,14:30:00,No,No,
D1006,2025-01-25 10:05:00.000000,Medication,15:30:00,No,No,
D1007,2025-01-02 21:13:00.000000,Appointment,22:00:00,Yes,No,
D1008,2025-01-21 15:25:00.000000,Medication,12:30:00,No,No,
D1009,2025-01-15 02:47:00.000000,Exercise,20:30:00,Yes,Yes,
D1010,2025-01-24 13:58:00.000000,Appointment,20:00:00,Yes,Yes,
D1011,2025-01-10 06:39:00.000000,Exercise,12:30:00,Yes,Yes,
D1012,2025-01-25 01:18:00.000000,Appointment,10:30:00,No,No,
D1013,2025-01-06 12:23:00.000000,Appointment,20:30:00,No,No,
D1014,2025-01-26 14:14:00.000000,Hydration,13:00:00,No,No,
D1015,2025-01-07 09:45:00.000000,Hydration,13:00:00,No,No,
D1016,2025-01-08 19:04:00.000000,Appointment,07:30:00,Yes,Yes,
D1017,2025-01-21 18:14:00.000000,Appointment,19:30:00,Yes,Yes,
D1018,2025-01-18 22:50:00.000000,Medication,16:00:00,No,No,
D1019,2025-01-30 20:49:00.000000,Medication,13:00:00,Yes,Yes,
D1020,2025-01-29 15:14:00.000000,Exercise,07:00:00,Yes,No,
D1021,2025-01-12 11:38:00.000000,Medication,20:00:00,Yes,No,
D1022,2025-01-17 02:41:00.000000,Appointment,11:30:00,No,No,
D1023,2025-01-12 09:28:00.000000,Hydration,06:30:00,No,No,
D1024,2025-01-09 15:48:00.000000,Appointment,07:30:00,Yes,Yes,
D1025,2025-01-05 13:05:00.000000,Medication,11:30:00,Yes,Yes,
D1026,2025-01-04 00:59:00.000000,Medication,07:00:00,No,No,
D1027,2025-01-28 07:52:00.000000,Appointment,20:30:00,Yes,Yes,
D1028,2025-01-01 09:40:00.000000,Appointment,19:00:00,No,No,
D1029,2025-01-30 21:02:00.000000,Medication,15:00:00,No,No,
D1030,2025-01-07 02:12:00.000000,Exercise,15:00:00,No,No,
D1031,2025-01-08 19:23:00.000000,Medication,12:30:00,Yes,No,
D1032,2025-01-30 03:43:00.000000,Appointment,18:00:00,No,No,
D1033,2025-01-06 20:01:00.000000,Appointment,08:30:00,No,No,
D1034,2025-01-23 06:47:00.000000,Exercise,07:30:00,Yes,No,
D1035,2025-01-30 05:07:00.000000,Hydration,22:00:00,No,No,
D1036,2025-01-06 02:42:00.000000,Exercise,20:30:00,Yes,Yes,
D1037,2025-01-30 23:40:00.000000,Medication,08:00:00,Yes,Yes,
D1038,2025-01-04 17:22:00.000000,Hydration,15:30:00,No,No,
D1039,2025-01-08 15:23:00.000000,Medication,17:00:00,No,No,
D1040,2025-01-26 17:52:00.000000,Appointment,22:00:00,No,No,
D1041,2025-01-23 05:51:00.000000,Exercise,11:00:00,No,No,
D1042,2025-01-18 06:29:00.000000,Hydration,10:30:00,Yes,Yes,
D1043,2025-01-01 19:58:00.000000,Exercise,22:00:00,Yes,No,
D1044,2025-01-14 00:57:00.000000,Hydration,17:00:00,Yes,Yes,
D1045,2025-01-01 13:42:00.000000,Medication,19:00:00,Yes,Yes,
D1046,2025-01-03 08:00:00.000000,Medication,13:30:00,No,No,
D1047,2025-01-12 16:49:00.000000,Hydration,14:30:00,No,No,
D1048,2025-01-23 04:07:00.000000,Hydration,07:00:00,No,No,
D1049,2025-01-20 19:57:00.000000,Appointment,18:30:00,Yes,Yes,
D1050,2025-01-25 11:04:00.000000,Medication,18:00:00,Yes,Yes,
D1051,2025-01-21 18:48:00.000000,Exercise,12:30:00,No,No,
D1052,2025-01-05 00:23:00.000000,Medication,17:00:00,Yes,Yes,
D1053,2025-01-21 05:21:00.000000,Appointment,08:30:00,Yes,Yes,
D1054,2025-01-30 10:13:00.000000,Exercise,07:30:00,No,No,
D1055,2025-01-15 18:23:00.000000,Hydration,13:30:00,No,No,
